t,standingA,standingB,reserveA,reserveB,gap_uu,frame_ms,game_ms,render_ms,gpu_ms
2.0,5004,5004,2500,2500,6894,38.82,35.57,0.00,2.38
4.0,5004,5004,2500,2500,5653,36.55,32.67,0.00,3.68
6.0,5004,5004,2500,2500,4384,31.19,25.37,0.00,4.52
8.1,4914,4874,2500,2500,3256,36.10,25.72,0.00,5.91
10.1,4397,4531,2500,2201,2591,33.56,28.32,7.30,3.60
12.1,3893,4319,1594,1945,2603,31.87,30.76,2.63,3.30
14.1,4417,4185,1305,1668,2644,35.49,35.52,2.52,3.03
16.2,4485,4192,1305,1328,2755,333.33,38.74,1.38,0.41
18.2,4181,4148,1000,1040,3118,333.33,38.74,1.28,0.35
20.2,4203,4101,1000,518,3480,333.33,38.74,1.38,0.50
22.2,3959,4376,670,235,3629,333.34,38.74,1.18,0.54
24.2,4045,4486,64,235,3808,333.33,38.74,1.38,0.52
26.2,4455,4320,64,0,3948,333.33,38.74,1.41,0.54
28.2,4255,4378,64,0,3767,333.33,38.74,1.27,0.35
30.2,4043,4222,0,0,3824,333.33,38.74,1.27,0.51
32.2,3961,4093,0,0,3935,333.33,38.74,1.35,0.51
34.2,3817,3963,0,0,3985,333.33,38.74,1.41,0.57
36.2,3695,3810,0,0,3924,333.33,38.74,1.32,0.39
38.2,3558,3637,0,0,3782,333.33,38.74,1.20,1.56
40.2,3423,3433,0,0,3705,333.33,38.74,1.19,0.55
42.2,3285,3242,0,0,3663,333.34,38.74,1.30,0.57
44.2,3135,3042,0,0,3692,333.33,38.74,1.38,1.65
46.2,2980,2876,0,0,3780,333.33,38.74,1.46,0.58
48.2,2840,2724,0,0,3935,333.33,38.74,1.36,0.60
50.2,2744,2620,0,0,4062,333.33,38.74,1.40,2.46
52.2,2673,2585,0,0,4156,333.33,38.74,1.33,0.58
54.2,2622,2564,0,0,4224,333.33,38.74,1.32,0.54
56.2,2602,2554,0,0,4248,333.33,38.74,1.27,0.57
58.2,2573,2547,0,0,4278,333.33,38.74,1.26,0.56
60.2,2557,2545,0,0,4297,333.33,38.74,1.24,0.56
62.2,2542,2543,0,0,4313,333.33,38.74,1.35,0.55
64.2,2526,2540,0,0,4339,333.33,38.74,1.29,0.60
66.2,2523,2540,0,0,4335,333.33,38.74,1.34,0.55
68.2,2517,2540,0,0,4366,12.84,13.95,2.28,1.50
70.2,2517,2540,0,0,4391,17.92,14.74,5.19,2.29
72.2,2517,2540,0,0,4386,12.95,12.78,2.56,1.58
74.2,2516,2540,0,0,4381,13.12,12.79,2.49,1.62
76.2,2516,2540,0,0,4385,13.92,13.19,3.05,1.81
78.2,2516,2540,0,0,4379,14.91,13.30,2.45,1.63
80.3,2516,2540,0,0,4380,13.81,13.25,2.77,2.65
82.3,2516,2540,0,0,4376,14.01,14.50,2.33,1.83
84.3,2516,2540,0,0,4380,14.77,14.55,2.40,2.28
86.4,2516,2540,0,0,4388,333.33,14.30,3.00,1.85
88.4,2510,2539,0,0,4341,333.33,14.30,1.28,0.28
90.4,2505,2537,0,0,4332,333.33,14.30,1.37,0.41
92.4,2502,2537,0,0,4346,333.33,14.30,1.55,1.59
94.4,2498,2536,0,0,4371,333.33,14.30,1.53,0.40
96.4,2495,2536,0,0,4377,333.33,14.30,1.46,0.41
98.4,2494,2536,0,0,4378,333.33,14.30,1.39,0.40
100.4,2491,2536,0,0,4382,333.33,14.30,1.44,0.42
102.4,2490,2536,0,0,4384,333.33,14.30,1.27,4.10
104.4,2486,2536,0,0,4391,333.33,14.30,1.33,0.63
106.4,2482,2535,0,0,4391,333.33,14.30,1.36,1.03
108.4,2482,2535,0,0,4394,333.33,14.30,1.27,0.58
110.4,2480,2535,0,0,4408,19.70,15.93,5.32,2.14
112.4,2480,2535,0,0,4437,13.53,12.88,0.00,1.78
