t,standingA,standingB,reserveA,reserveB,gap_uu,frame_ms,game_ms,render_ms,gpu_ms
2.0,5000,5000,2500,2500,6980,333.33,27.63,0.00,5.98
4.0,5000,5000,2500,2500,5932,333.33,25.68,0.00,4.40
6.0,5000,5000,2500,2500,4677,25.83,26.15,0.00,3.65
8.0,4805,4961,2500,2500,3205,39.06,28.64,0.00,6.68
10.1,4213,4636,2500,2500,2238,34.84,28.89,0.00,4.10
12.1,3723,4323,1243,2500,1702,39.74,29.14,0.00,6.50
14.1,4652,4069,1243,1923,1513,31.39,31.77,0.00,3.24
16.1,4402,4418,1243,1923,2109,38.39,31.78,0.00,4.00
18.1,4153,4256,1243,1408,1905,34.98,29.09,0.00,4.43
20.2,3952,4617,1243,1408,2191,38.61,28.98,0.00,4.80
22.2,3763,4494,154,1408,2043,35.60,27.24,0.00,4.67
24.2,4663,4351,154,1408,2732,37.07,31.68,0.00,3.78
26.2,4195,4117,154,1408,2244,36.97,29.92,0.00,3.86
28.2,3910,3902,154,1408,2206,34.51,24.62,0.00,4.89
30.2,3721,3720,154,1408,2190,30.98,22.28,0.00,4.30
32.2,3571,3546,0,875,2201,27.85,23.01,0.00,3.58
34.3,3588,3922,0,875,2411,31.32,23.66,0.00,4.26
36.3,3420,3798,0,875,2239,34.40,22.87,0.00,6.11
38.3,3269,3695,0,371,2227,29.07,21.81,0.00,4.97
40.3,3104,3985,0,371,1931,34.91,24.57,0.00,5.03
42.3,2923,3738,0,371,2017,27.84,22.69,0.00,3.84
44.3,2802,3533,0,371,2083,19.88,21.24,0.00,2.52
46.3,2700,3353,0,0,2153,28.56,20.97,0.00,4.25
48.4,2606,3594,0,0,1462,28.50,20.65,0.00,5.97
50.4,2524,3486,0,0,1481,25.04,19.68,0.00,2.64
52.4,2428,3399,0,0,1418,25.79,19.89,0.00,3.80
54.4,2321,3310,0,0,1398,23.84,18.72,0.00,3.03
56.4,2234,3225,0,0,1377,24.21,17.67,0.00,4.24
58.4,2166,3151,0,0,1390,23.36,17.87,0.00,3.13
60.4,2093,3071,0,0,1412,22.56,18.95,0.00,2.53
62.4,2035,3007,0,0,1424,24.18,16.41,0.00,5.18
64.5,1984,2962,0,0,1447,21.44,16.34,0.00,2.79
66.5,1931,2901,0,0,1458,16.45,15.81,0.00,1.87
68.5,1896,2876,0,0,1431,400.00,17.59,0.00,7.95
70.5,1829,2822,0,0,1479,15.14,16.29,0.00,2.16
72.8,1798,2790,0,0,1454,333.33,16.31,0.00,0.35
74.8,1750,2760,0,0,1422,333.33,16.31,0.00,0.48
76.8,1700,2718,0,0,1457,333.33,16.31,0.00,5.27
78.8,1649,2659,0,0,1495,333.33,16.31,0.00,0.90
80.8,1587,2608,0,0,1537,333.33,16.31,0.00,3.31
82.8,1546,2561,0,0,1539,333.33,16.31,0.00,1.00
84.8,1493,2513,0,0,1575,333.33,16.31,0.00,2.21
86.8,1456,2468,0,0,1587,333.33,16.31,0.00,5.57
88.8,1399,2417,0,0,1639,333.33,16.31,0.00,3.69
90.8,1359,2365,0,0,1671,333.33,16.31,0.00,1.02
92.8,1325,2330,0,0,1682,333.33,16.31,0.00,2.05
94.8,1289,2294,0,0,1687,333.33,16.31,0.00,1.02
96.8,1252,2254,0,0,1720,333.33,16.31,0.00,2.12
98.8,1215,2226,0,0,1719,333.33,16.31,0.00,3.37
100.8,1182,2192,0,0,1750,333.33,16.31,0.00,2.06
102.8,1154,2155,0,0,1765,333.33,16.31,0.00,0.97
104.8,1136,2134,0,0,1782,333.33,16.31,0.00,2.69
106.8,1116,2112,0,0,1789,333.33,16.31,0.00,0.99
108.8,1092,2084,0,0,1792,333.33,16.31,0.00,1.01
110.8,1077,2069,0,0,1801,333.33,16.31,0.00,1.11
112.8,1059,2044,0,0,1826,333.33,16.31,0.00,0.82
114.8,1042,2025,0,0,1830,333.33,16.31,0.00,4.05
116.8,1025,2002,0,0,1843,333.34,16.31,0.00,0.90
118.8,1011,1985,0,0,1855,333.33,16.31,0.00,0.97
120.8,998,1969,0,0,1860,333.33,16.31,0.00,1.13
