config,brood,retinue,frame_ms,game_ms,draw_ms,gpu_ms,fps
task129-volley-off,1000,100,8.795,8.561,0.000,2.631,113.71
task129-volley-off,5000,100,11.147,11.144,0.000,3.536,89.71
task129-volley-off,10000,100,14.087,14.084,0.000,4.557,70.99
task129-volley-off,20000,100,21.211,21.208,0.000,5.772,47.15
task129-volley-off,30000,100,28.132,28.126,0.000,8.828,35.55
task129-volley-off,40000,100,36.133,36.144,0.000,11.095,27.68
task129-volley-on,1000,100,8.353,7.469,0.000,2.559,119.72
task129-volley-on,5000,100,10.324,10.319,0.000,3.226,96.87
task129-volley-on,10000,100,13.329,13.326,0.000,3.963,75.03
task129-volley-on,20000,100,20.330,20.327,0.000,5.801,49.19
task129-volley-on,30000,100,28.313,28.310,0.000,9.079,35.32
task129-volley-on,40000,100,36.440,36.451,0.000,11.269,27.44
task129-volley-saturated,1000,100,11.972,11.970,0.000,3.469,83.53
task129-volley-saturated,5000,100,12.857,12.855,0.000,3.838,77.78
task129-volley-saturated,10000,100,16.666,16.663,0.000,5.026,60.00
task129-volley-saturated,20000,100,21.466,21.473,0.000,5.646,46.59
task129-volley-saturated,30000,100,29.800,29.798,0.000,7.563,33.56
task129-volley-saturated,40000,100,37.810,37.808,0.000,11.748,26.45
